;;;;;;;;;;;;;;;;;;;
Encuesta;Periodo;Indicadores;Nacional;Área;;Sexo;;;;;;;;;;;;;
;;;Total;Urbana;Rural;Hombre;Mujer;;;;;;;;;;;;
ENEMDU;jun-10;Población Económicamente Activa;6.582.460;4.414.069;2.168.390;3.911.014;2.671.446;;;;;;;;;;;;
ENEMDU;jun-10;Empleo;6.174.141;4.075.417;2.098.724;3.716.323;2.457.818;;;;;;;;;;;;
ENEMDU;jun-10;Empleo Adecuado/Pleno;2.715.542;2.211.148;504.394;1.839.160;876.383;;;;;;;;;;;;
ENEMDU;jun-10;Subempleo;1.041.266;663.688;377.578;596.889;444.377;;;;;;;;;;;;
ENEMDU;jun-10;Subempleo por insuficiencia de tiempo de trabajo;762.700;499.598;263.103;401.557;361.143;;;;;;;;;;;;
ENEMDU;jun-10;Subempleo por insuficiencia de ingresos;278.566;164.090;114.475;195.331;83.234;;;;;;;;;;;;
ENEMDU;jun-10;Empleo no remunerado;518.542;170.555;347.988;169.134;349.408;;;;;;;;;;;;
ENEMDU;jun-10;Otro Empleo no pleno;1.811.893;958.283;853.610;1.057.750;754.142;;;;;;;;;;;;
ENEMDU;jun-10;Empleo no clasificado;86.898;71.743;15.155;53.390;33.508;;;;;;;;;;;;
ENEMDU;jun-10;Desempleo;408.318;338.652;69.666;194.691;213.628;;;;;;;;;;;;
ENEMDU;jun-10;Desempleo Abierto;295.709;258.837;36.872;152.300;143.408;;;;;;;;;;;;
ENEMDU;jun-10;Desempleo Oculto;112.610;79.815;32.794;42.390;70.219;;;;;;;;;;;;
ENEMDU;jun-10;Desempleo Cesante;253.325;215.747;37.578;132.243;121.082;;;;;;;;;;;;
ENEMDU;jun-10;Desempleo Nuevo;154.993;122.905;32.088;62.447;92.546;;;;;;;;;;;;
ENEMDU;jun-10;Población Económicamente Inactiva;3.564.926;2.486.211;1.078.715;986.895;2.578.031;;;;;;;;;;;;
ENEMDU;dic-10;Población Total;14.279.685;9.475.345;4.804.340;7.056.148;7.223.538;;;;;;;;;;;;
ENEMDU;dic-10;Población menor de 15 años;3.988.185;2.498.411;1.489.773;2.053.086;1.935.099;;;;;;;;;;;;
