;;;;;;;;;;;;;;;;;;;
Encuesta;Periodo;Indicadores;Nacional;Área;;Sexo;;;;;;;;;;;;;
;;;Total;Urbana;Rural;Hombre;Mujer;;;;;;;;;;;;
ENEMDU*;dic-21;Población Económicamente Inactiva; 4.155.501 ; 3.177.825 ; 977.676 ; 1.298.774 ; 2.856.727 ;;;;;;;;;;;;
ENEMDU*;ene-22;Población Total; 17.958.067 ; 12.242.702 ; 5.715.365 ; 8.789.297 ; 9.168.770 ;;;;;;;;;;;;
ENEMDU*;ene-22;Población menor de 15 años; 5.182.430 ; 3.342.319 ; 1.840.111 ; 2.546.230 ; 2.636.200 ;;;;;;;;;;;;
ENEMDU*;ene-22;Población en Edad de Trabajar (PET); 12.775.637 ; 8.900.383 ; 3.875.254 ; 6.243.067 ; 6.532.570 ;;;;;;;;;;;;
ENEMDU*;ene-22;Población Económicamente Activa; 8.505.094 ; 5.572.283 ; 2.932.811 ; 4.927.285 ; 3.577.809 ;;;;;;;;;;;;
ENEMDU*;ene-22;Empleo; 8.046.520 ; 5.161.871 ; 2.884.649 ; 4.707.207 ; 3.339.314 ;;;;;;;;;;;;
ENEMDU*;ene-22;Empleo Adecuado/Pleno; 2.813.259 ; 2.306.921 ; 506.338 ; 1.892.400 ; 920.860 ;;;;;;;;;;;;
ENEMDU*;ene-22;Subempleo; 1.923.563 ; 1.271.645 ; 651.918 ; 1.261.822 ; 661.741 ;;;;;;;;;;;;
ENEMDU*;ene-22;Subempleo por insuficiencia de tiempo de trabajo; 1.722.143 ; 1.165.298 ; 556.845 ; 1.110.254 ; 611.889 ;;;;;;;;;;;;
ENEMDU*;ene-22;Subempleo por insuficiencia de ingresos; 201.420 ; 106.347 ; 95.074 ; 151.568 ; 49.852 ;;;;;;;;;;;;
ENEMDU*;ene-22;Empleo no remunerado; 1.067.315 ; 277.546 ; 789.768 ; 324.356 ; 742.958 ;;;;;;;;;;;;
ENEMDU*;ene-22;Otro Empleo no pleno; 2.195.548 ; 1.261.006 ; 934.542 ; 1.202.110 ; 993.438 ;;;;;;;;;;;;
ENEMDU*;ene-22;Empleo no clasificado; 46.835 ; 44.753 ; 2.082 ; 26.518 ; 20.317 ;;;;;;;;;;;;
ENEMDU*;ene-22;Desempleo; 458.573 ; 410.412 ; 48.161 ; 220.079 ; 238.495 ;;;;;;;;;;;;
ENEMDU*;ene-22;Desempleo Abierto; 385.702 ; 349.865 ; 35.837 ; 194.171 ; 191.531 ;;;;;;;;;;;;
ENEMDU*;ene-22;Desempleo Oculto; 72.871 ; 60.547 ; 12.324 ; 25.908 ; 46.963 ;;;;;;;;;;;;
ENEMDU*;ene-22;Desempleo Cesante; 356.261 ; 320.116 ; 36.145 ; 176.964 ; 179.297 ;;;;;;;;;;;;
ENEMDU*;ene-22;Desempleo Nuevo; 102.313 ; 90.296 ; 12.017 ; 43.115 ; 59.198 ;;;;;;;;;;;;
ENEMDU*;ene-22;Población Económicamente Inactiva; 4.270.543 ; 3.328.100 ; 942.443 ; 1.315.782 ; 2.954.761 ;;;;;;;;;;;;
ENEMDU*;feb-22;Población Total; 17.978.473 ; 12.256.578 ; 5.721.895 ; 8.799.307 ; 9.179.166 ;;;;;;;;;;;;
ENEMDU*;feb-22;Población menor de 15 años; 5.187.822 ; 3.345.796 ; 1.842.026 ; 2.548.895 ; 2.638.927 ;;;;;;;;;;;;
ENEMDU*;feb-22;Población en Edad de Trabajar (PET); 12.790.651 ; 8.910.782 ; 3.879.869 ; 6.250.412 ; 6.540.239 ;;;;;;;;;;;;
ENEMDU*;feb-22;Población Económicamente Activa; 8.482.096 ; 5.573.378 ; 2.908.718 ; 4.843.816 ; 3.638.280 ;;;;;;;;;;;;
ENEMDU*;feb-22;Empleo; 8.114.443 ; 5.269.597 ; 2.844.845 ; 4.655.501 ; 3.458.942 ;;;;;;;;;;;;
ENEMDU*;feb-22;Empleo Adecuado/Pleno; 2.685.359 ; 2.208.088 ; 477.271 ; 1.816.446 ; 868.913 ;;;;;;;;;;;;
ENEMDU*;feb-22;Subempleo; 1.984.800 ; 1.272.257 ; 712.543 ; 1.238.722 ; 746.078 ;;;;;;;;;;;;
ENEMDU*;feb-22;Subempleo por insuficiencia de tiempo de trabajo; 1.754.297 ; 1.120.110 ; 634.187 ; 1.064.079 ; 690.218 ;;;;;;;;;;;;
ENEMDU*;feb-22;Subempleo por insuficiencia de ingresos; 230.502 ; 152.147 ; 78.356 ; 174.643 ; 55.860 ;;;;;;;;;;;;
ENEMDU*;feb-22;Empleo no remunerado; 925.558 ; 269.697 ; 655.860 ; 262.925 ; 662.633 ;;;;;;;;;;;;
ENEMDU*;feb-22;Otro Empleo no pleno; 2.499.556 ; 1.502.170 ; 997.386 ; 1.327.404 ; 1.172.151 ;;;;;;;;;;;;
ENEMDU*;feb-22;Empleo no clasificado; 19.170 ; 17.385 ; 1.785 ; 10.003 ; 9.167 ;;;;;;;;;;;;
ENEMDU*;feb-22;Desempleo; 367.654 ; 303.781 ; 63.873 ; 188.315 ; 179.339 ;;;;;;;;;;;;
ENEMDU*;feb-22;Desempleo Abierto; 314.250 ; 269.234 ; 45.016 ; 160.436 ; 153.814 ;;;;;;;;;;;;
ENEMDU*;feb-22;Desempleo Oculto; 53.403 ; 34.547 ; 18.857 ; 27.879 ; 25.524 ;;;;;;;;;;;;
ENEMDU*;feb-22;Desempleo Cesante; 287.464 ; 251.173 ; 36.291 ; 150.837 ; 136.627 ;;;;;;;;;;;;
ENEMDU*;feb-22;Desempleo Nuevo; 80.190 ; 52.608 ; 27.581 ; 37.478 ; 42.712 ;;;;;;;;;;;;
ENEMDU*;feb-22;Población Económicamente Inactiva; 4.308.555 ; 3.337.404 ; 971.151 ; 1.406.596 ; 2.901.959 ;;;;;;;;;;;;
ENEMDU*;mar-22;Población Total; 17.998.889 ; 12.270.523 ; 5.728.366 ; 8.809.293 ; 9.189.596 ;;;;;;;;;;;;
ENEMDU*;mar-22;Población menor de 15 años; 5.193.229 ; 3.349.290 ; 1.843.939 ; 2.551.547 ; 2.641.682 ;;;;;;;;;;;;
ENEMDU*;mar-22;Población en Edad de Trabajar (PET); 12.805.660 ; 8.921.233 ; 3.884.427 ; 6.257.746 ; 6.547.914 ;;;;;;;;;;;;
ENEMDU*;mar-22;Población Económicamente Activa; 8.314.561 ; 5.480.770 ; 2.833.792 ; 4.846.827 ; 3.467.734 ;;;;;;;;;;;;
ENEMDU*;mar-22;Empleo; 7.916.916 ; 5.141.772 ; 2.775.144 ; 4.639.616 ; 3.277.300 ;;;;;;;;;;;;
ENEMDU*;mar-22;Empleo Adecuado/Pleno; 2.721.202 ; 2.223.544 ; 497.658 ; 1.756.621 ; 964.580 ;;;;;;;;;;;;
ENEMDU*;mar-22;Subempleo; 1.911.075 ; 1.204.779 ; 706.296 ; 1.268.216 ; 642.859 ;;;;;;;;;;;;
ENEMDU*;mar-22;Subempleo por insuficiencia de tiempo de trabajo; 1.720.362 ; 1.091.571 ; 628.791 ; 1.113.728 ; 606.634 ;;;;;;;;;;;;
ENEMDU*;mar-22;Subempleo por insuficiencia de ingresos; 190.713 ; 113.208 ; 77.505 ; 154.488 ; 36.225 ;;;;;;;;;;;;
ENEMDU*;mar-22;Empleo no remunerado; 880.365 ; 280.460 ; 599.905 ; 251.426 ; 628.940 ;;;;;;;;;;;;
ENEMDU*;mar-22;Otro Empleo no pleno; 2.365.496 ; 1.394.211 ; 971.286 ; 1.337.496 ; 1.028.000 ;;;;;;;;;;;;
ENEMDU*;mar-22;Empleo no clasificado; 38.778 ; 38.778 ; -   ; 25.857 ; 12.920 ;;;;;;;;;;;;
ENEMDU*;mar-22;Desempleo; 397.645 ; 338.998 ; 58.647 ; 207.211 ; 190.434 ;;;;;;;;;;;;
ENEMDU*;mar-22;Desempleo Abierto; 354.404 ; 307.340 ; 47.064 ; 181.515 ; 172.890 ;;;;;;;;;;;;
ENEMDU*;mar-22;Desempleo Oculto; 43.241 ; 31.657 ; 11.584 ; 25.696 ; 17.545 ;;;;;;;;;;;;
ENEMDU*;mar-22;Desempleo Cesante; 315.239 ; 276.502 ; 38.737 ; 161.738 ; 153.501 ;;;;;;;;;;;;
ENEMDU*;mar-22;Desempleo Nuevo; 82.406 ; 62.496 ; 19.911 ; 45.472 ; 36.934 ;;;;;;;;;;;;
ENEMDU*;mar-22;Población Económicamente Inactiva; 4.491.099 ; 3.440.463 ; 1.050.635 ; 1.410.919 ; 3.080.180 ;;;;;;;;;;;;
ENEMDU*;abr-22;Población Total; 18.019.269 ; 12.284.388 ; 5.734.881 ; 8.819.284 ; 9.199.985 ;;;;;;;;;;;;
ENEMDU*;abr-22;Población menor de 15 años; 5.198.632 ; 3.352.764 ; 1.845.868 ; 2.554.188 ; 2.644.444 ;;;;;;;;;;;;
ENEMDU*;abr-22;Población en Edad de Trabajar (PET); 12.820.637 ; 8.931.624 ; 3.889.013 ; 6.265.096 ; 6.555.541 ;;;;;;;;;;;;
ENEMDU*;abr-22;Población Económicamente Activa; 8.524.063 ; 5.677.097 ; 2.846.966 ; 4.908.234 ; 3.615.829 ;;;;;;;;;;;;
ENEMDU*;abr-22;Empleo; 8.124.631 ; 5.344.862 ; 2.779.769 ; 4.719.177 ; 3.405.454 ;;;;;;;;;;;;
ENEMDU*;abr-22;Empleo Adecuado/Pleno; 2.770.255 ; 2.280.587 ; 489.668 ; 1.849.014 ; 921.242 ;;;;;;;;;;;;
ENEMDU*;abr-22;Subempleo; 2.041.359 ; 1.397.635 ; 643.724 ; 1.301.334 ; 740.025 ;;;;;;;;;;;;
ENEMDU*;abr-22;Subempleo por insuficiencia de tiempo de trabajo; 1.883.288 ; 1.289.625 ; 593.663 ; 1.185.008 ; 698.281 ;;;;;;;;;;;;
ENEMDU*;abr-22;Subempleo por insuficiencia de ingresos; 158.071 ; 108.010 ; 50.061 ; 116.327 ; 41.744 ;;;;;;;;;;;;
ENEMDU*;abr-22;Empleo no remunerado; 902.331 ; 243.409 ; 658.921 ; 276.150 ; 626.181 ;;;;;;;;;;;;
ENEMDU*;abr-22;Otro Empleo no pleno; 2.395.780 ; 1.408.607 ; 987.173 ; 1.282.692 ; 1.113.088 ;;;;;;;;;;;;
ENEMDU*;abr-22;Empleo no clasificado; 14.906 ; 14.623 ; 283 ; 9.987 ; 4.919 ;;;;;;;;;;;;
ENEMDU*;abr-22;Desempleo; 399.432 ; 332.235 ; 67.197 ; 189.058 ; 210.375 ;;;;;;;;;;;;
ENEMDU*;abr-22;Desempleo Abierto; 359.062 ; 305.684 ; 53.378 ; 164.946 ; 194.116 ;;;;;;;;;;;;
ENEMDU*;abr-22;Desempleo Oculto; 40.371 ; 26.551 ; 13.819 ; 24.112 ; 16.259 ;;;;;;;;;;;;
ENEMDU*;abr-22;Desempleo Cesante; 308.061 ; 261.004 ; 47.056 ; 147.558 ; 160.502 ;;;;;;;;;;;;
ENEMDU*;abr-22;Desempleo Nuevo; 91.371 ; 71.231 ; 20.141 ; 41.499 ; 49.872 ;;;;;;;;;;;;
ENEMDU*;abr-22;Población Económicamente Inactiva; 4.296.574 ; 3.254.527 ; 1.042.047 ; 1.356.862 ; 2.939.712 ;;;;;;;;;;;;
ENEMDU*;may-22;Población Total; 18.039.769 ; 12.298.410 ; 5.741.359 ; 8.829.302 ; 9.210.467 ;;;;;;;;;;;;
ENEMDU*;may-22;Población menor de 15 años; 5.204.032 ; 3.356.255 ; 1.847.777 ; 2.556.829 ; 2.647.203 ;;;;;;;;;;;;
ENEMDU*;may-22;Población en Edad de Trabajar (PET); 12.835.737 ; 8.942.155 ; 3.893.582 ; 6.272.473 ; 6.563.264 ;;;;;;;;;;;;
ENEMDU*;may-22;Población Económicamente Activa; 8.557.854 ; 5.624.871 ; 2.932.983 ; 4.937.230 ; 3.620.624 ;;;;;;;;;;;;
ENEMDU*;may-22;Empleo; 8.242.866 ; 5.374.751 ; 2.868.115 ; 4.784.500 ; 3.458.366 ;;;;;;;;;;;;
ENEMDU*;may-22;Empleo Adecuado/Pleno; 2.843.061 ; 2.331.214 ; 511.848 ; 1.929.062 ; 914.000 ;;;;;;;;;;;;
ENEMDU*;may-22;Subempleo; 1.888.344 ; 1.193.915 ; 694.429 ; 1.136.489 ; 751.855 ;;;;;;;;;;;;
ENEMDU*;may-22;Subempleo por insuficiencia de tiempo de trabajo; 1.717.642 ; 1.089.853 ; 627.789 ; 1.009.253 ; 708.389 ;;;;;;;;;;;;
ENEMDU*;may-22;Subempleo por insuficiencia de ingresos; 170.702 ; 104.062 ; 66.640 ; 127.236 ; 43.466 ;;;;;;;;;;;;
ENEMDU*;may-22;Empleo no remunerado; 1.011.882 ; 279.389 ; 732.493 ; 380.527 ; 631.355 ;;;;;;;;;;;;
ENEMDU*;may-22;Otro Empleo no pleno; 2.472.772 ; 1.545.445 ; 927.327 ; 1.320.368 ; 1.152.405 ;;;;;;;;;;;;
ENEMDU*;may-22;Empleo no clasificado; 26.807 ; 24.788 ; 2.018 ; 18.055 ; 8.752 ;;;;;;;;;;;;
ENEMDU*;may-22;Desempleo; 314.988 ; 250.120 ; 64.868 ; 152.730 ; 162.258 ;;;;;;;;;;;;
ENEMDU*;may-22;Desempleo Abierto; 278.099 ; 221.759 ; 56.340 ; 134.047 ; 144.052 ;;;;;;;;;;;;
ENEMDU*;may-22;Desempleo Oculto; 36.889 ; 28.361 ; 8.528 ; 18.683 ; 18.206 ;;;;;;;;;;;;
ENEMDU*;may-22;Desempleo Cesante; 245.930 ; 197.724 ; 48.207 ; 125.881 ; 120.050 ;;;;;;;;;;;;
ENEMDU*;may-22;Desempleo Nuevo; 69.058 ; 52.397 ; 16.661 ; 26.849 ; 42.208 ;;;;;;;;;;;;
ENEMDU*;may-22;Población Económicamente Inactiva; 4.277.883 ; 3.317.284 ; 960.599 ; 1.335.243 ; 2.942.640 ;;;;;;;;;;;;
ENEMDU*;jun-22;Población Total; 18.060.182 ; 12.312.297 ; 5.747.885 ; 8.839.292 ; 9.220.890 ;;;;;;;;;;;;
ENEMDU*;jun-22;Población menor de 15 años; 5.209.419 ; 3.359.705 ; 1.849.714 ; 2.559.474 ; 2.649.945 ;;;;;;;;;;;;
ENEMDU*;jun-22;Población en Edad de Trabajar (PET); 12.850.763 ; 8.952.592 ; 3.898.171 ; 6.279.818 ; 6.570.945 ;;;;;;;;;;;;
ENEMDU*;jun-22;Población Económicamente Activa; 8.536.619 ; 5.674.031 ; 2.862.588 ; 4.954.879 ; 3.581.740 ;;;;;;;;;;;;
ENEMDU*;jun-22;Empleo; 8.190.999 ; 5.376.187 ; 2.814.812 ; 4.771.371 ; 3.419.627 ;;;;;;;;;;;;
ENEMDU*;jun-22;Empleo Adecuado/Pleno; 2.906.664 ; 2.407.647 ; 499.017 ; 1.919.019 ; 987.645 ;;;;;;;;;;;;
ENEMDU*;jun-22;Subempleo; 2.012.731 ; 1.290.640 ; 722.091 ; 1.233.043 ; 779.688 ;;;;;;;;;;;;
ENEMDU*;jun-22;Subempleo por insuficiencia de tiempo de trabajo; 1.832.496 ; 1.208.301 ; 624.195 ; 1.101.039 ; 731.456 ;;;;;;;;;;;;
ENEMDU*;jun-22;Subempleo por insuficiencia de ingresos; 180.236 ; 82.339 ; 97.897 ; 132.003 ; 48.232 ;;;;;;;;;;;;
ENEMDU*;jun-22;Empleo no remunerado; 887.005 ; 255.180 ; 631.825 ; 300.681 ; 586.324 ;;;;;;;;;;;;
ENEMDU*;jun-22;Otro Empleo no pleno; 2.362.022 ; 1.401.873 ; 960.149 ; 1.306.286 ; 1.055.736 ;;;;;;;;;;;;
ENEMDU*;jun-22;Empleo no clasificado; 22.576 ; 20.847 ; 1.729 ; 12.342 ; 10.234 ;;;;;;;;;;;;
ENEMDU*;jun-22;Desempleo; 345.620 ; 297.845 ; 47.776 ; 183.508 ; 162.112 ;;;;;;;;;;;;
ENEMDU*;jun-22;Desempleo Abierto; 309.338 ; 269.067 ; 40.270 ; 160.329 ; 149.008 ;;;;;;;;;;;;
ENEMDU*;jun-22;Desempleo Oculto; 36.283 ; 28.777 ; 7.506 ; 23.179 ; 13.104 ;;;;;;;;;;;;
ENEMDU*;jun-22;Desempleo Cesante; 257.370 ; 226.006 ; 31.364 ; 148.160 ; 109.210 ;;;;;;;;;;;;
ENEMDU*;jun-22;Desempleo Nuevo; 88.250 ; 71.838 ; 16.412 ; 35.348 ; 52.903 ;;;;;;;;;;;;
ENEMDU*;jun-22;Población Económicamente Inactiva; 4.314.144 ; 3.278.561 ; 1.035.583 ; 1.324.939 ; 2.989.205 ;;;;;;;;;;;;
ENEMDU*;jul-22;Población Total; 18.080.680 ; 12.326.257 ; 5.754.423 ; 8.849.313 ; 9.231.367 ;;;;;;;;;;;;
ENEMDU*;jul-22;Población menor de 15 años; 5.214.859 ; 3.363.228 ; 1.851.631 ; 2.562.151 ; 2.652.708 ;;;;;;;;;;;;
ENEMDU*;jul-22;Población en Edad de Trabajar (PET); 12.865.821 ; 8.963.029 ; 3.902.792 ; 6.287.162 ; 6.578.659 ;;;;;;;;;;;;
ENEMDU*;jul-22;Población Económicamente Activa; 8.579.754 ; 5.672.051 ; 2.907.704 ; 4.930.335 ; 3.649.419 ;;;;;;;;;;;;
ENEMDU*;jul-22;Empleo; 8.247.528 ; 5.394.045 ; 2.853.483 ; 4.756.068 ; 3.491.460 ;;;;;;;;;;;;
ENEMDU*;jul-22;Empleo Adecuado/Pleno; 2.752.904 ; 2.332.417 ; 420.487 ; 1.818.073 ; 934.831 ;;;;;;;;;;;;
ENEMDU*;jul-22;Subempleo; 1.890.850 ; 1.243.222 ; 647.628 ; 1.220.274 ; 670.576 ;;;;;;;;;;;;
ENEMDU*;jul-22;Subempleo por insuficiencia de tiempo de trabajo; 1.702.774 ; 1.133.234 ; 569.540 ; 1.073.016 ; 629.758 ;;;;;;;;;;;;
ENEMDU*;jul-22;Subempleo por insuficiencia de ingresos; 188.076 ; 109.988 ; 78.088 ; 147.258 ; 40.819 ;;;;;;;;;;;;
ENEMDU*;jul-22;Empleo no remunerado; 1.064.681 ; 279.403 ; 785.278 ; 341.719 ; 722.963 ;;;;;;;;;;;;
ENEMDU*;jul-22;Otro Empleo no pleno; 2.521.255 ; 1.525.108 ; 996.147 ; 1.369.472 ; 1.151.782 ;;;;;;;;;;;;
ENEMDU*;jul-22;Empleo no clasificado; 17.838 ; 13.895 ; 3.943 ; 6.530 ; 11.308 ;;;;;;;;;;;;
ENEMDU*;jul-22;Desempleo; 332.227 ; 278.006 ; 54.221 ; 174.267 ; 157.959 ;;;;;;;;;;;;
ENEMDU*;jul-22;Desempleo Abierto; 299.309 ; 254.840 ; 44.469 ; 157.642 ; 141.667 ;;;;;;;;;;;;
ENEMDU*;jul-22;Desempleo Oculto; 32.918 ; 23.166 ; 9.752 ; 16.626 ; 16.292 ;;;;;;;;;;;;
ENEMDU*;jul-22;Desempleo Cesante; 251.080 ; 216.467 ; 34.613 ; 138.859 ; 112.220 ;;;;;;;;;;;;
ENEMDU*;jul-22;Desempleo Nuevo; 81.147 ; 61.539 ; 19.608 ; 35.408 ; 45.739 ;;;;;;;;;;;;
ENEMDU*;jul-22;Población Económicamente Inactiva; 4.286.067 ; 3.290.978 ; 995.088 ; 1.356.827 ; 2.929.240 ;;;;;;;;;;;;
ENEMDU*;ago-22;Población Total; 18.101.202 ; 12.340.242 ; 5.760.960 ; 8.859.368 ; 9.241.834 ;;;;;;;;;;;;
ENEMDU*;ago-22;Población menor de 15 años; 5.220.269 ; 3.366.715 ; 1.853.554 ; 2.564.796 ; 2.655.473 ;;;;;;;;;;;;
ENEMDU*;ago-22;Población en Edad de Trabajar (PET); 12.880.933 ; 8.973.527 ; 3.907.406 ; 6.294.572 ; 6.586.361 ;;;;;;;;;;;;
ENEMDU*;ago-22;Población Económicamente Activa; 8.536.605 ; 5.682.529 ; 2.854.077 ; 4.893.759 ; 3.642.847 ;;;;;;;;;;;;
ENEMDU*;ago-22;Empleo; 8.193.371 ; 5.389.330 ; 2.804.041 ; 4.722.018 ; 3.471.353 ;;;;;;;;;;;;
ENEMDU*;ago-22;Empleo Adecuado/Pleno; 2.844.726 ; 2.369.318 ; 475.408 ; 1.894.742 ; 949.983 ;;;;;;;;;;;;
ENEMDU*;ago-22;Subempleo; 1.970.437 ; 1.156.397 ; 814.040 ; 1.247.916 ; 722.520 ;;;;;;;;;;;;
ENEMDU*;ago-22;Subempleo por insuficiencia de tiempo de trabajo; 1.723.352 ; 1.055.894 ; 667.458 ; 1.045.203 ; 678.149 ;;;;;;;;;;;;
ENEMDU*;ago-22;Subempleo por insuficiencia de ingresos; 247.085 ; 100.503 ; 146.582 ; 202.713 ; 44.371 ;;;;;;;;;;;;
ENEMDU*;ago-22;Empleo no remunerado; 916.120 ; 307.662 ; 608.458 ; 254.597 ; 661.523 ;;;;;;;;;;;;
ENEMDU*;ago-22;Otro Empleo no pleno; 2.429.362 ; 1.523.910 ; 905.453 ; 1.307.611 ; 1.121.751 ;;;;;;;;;;;;
ENEMDU*;ago-22;Empleo no clasificado; 32.726 ; 32.043 ; 683 ; 17.151 ; 15.575 ;;;;;;;;;;;;
ENEMDU*;ago-22;Desempleo; 343.235 ; 293.199 ; 50.036 ; 171.741 ; 171.494 ;;;;;;;;;;;;
ENEMDU*;ago-22;Desempleo Abierto; 302.094 ; 258.185 ; 43.909 ; 150.872 ; 151.222 ;;;;;;;;;;;;
ENEMDU*;ago-22;Desempleo Oculto; 41.141 ; 35.013 ; 6.127 ; 20.869 ; 20.272 ;;;;;;;;;;;;
ENEMDU*;ago-22;Desempleo Cesante; 249.954 ; 214.017 ; 35.936 ; 133.031 ; 116.922 ;;;;;;;;;;;;
ENEMDU*;ago-22;Desempleo Nuevo; 93.281 ; 79.181 ; 14.100 ; 38.709 ; 54.572 ;;;;;;;;;;;;
ENEMDU*;ago-22;Población Económicamente Inactiva; 4.344.328 ; 3.290.998 ; 1.053.329 ; 1.400.813 ; 2.943.514 ;;;;;;;;;;;;
ENEMDU*;sep-22;Población Total; 18.121.687 ; 12.354.198 ; 5.767.489 ; 8.869.390 ; 9.252.297 ;;;;;;;;;;;;
ENEMDU*;sep-22;Población menor de 15 años; 5.225.686 ; 3.370.207 ; 1.855.479 ; 2.567.451 ; 2.658.235 ;;;;;;;;;;;;
ENEMDU*;sep-22;Población en Edad de Trabajar (PET); 12.896.001 ; 8.983.991 ; 3.912.010 ; 6.301.939 ; 6.594.062 ;;;;;;;;;;;;
ENEMDU*;sep-22;Población Económicamente Activa; 8.693.194 ; 5.684.609 ; 3.008.585 ; 4.956.341 ; 3.736.852 ;;;;;;;;;;;;
ENEMDU*;sep-22;Empleo; 8.338.869 ; 5.389.475 ; 2.949.395 ; 4.780.815 ; 3.558.055 ;;;;;;;;;;;;
ENEMDU*;sep-22;Empleo Adecuado/Pleno; 3.077.801 ; 2.499.579 ; 578.222 ; 2.082.974 ; 994.827 ;;;;;;;;;;;;
ENEMDU*;sep-22;Subempleo; 1.765.761 ; 1.092.755 ; 673.006 ; 1.094.966 ; 670.796 ;;;;;;;;;;;;
ENEMDU*;sep-22;Subempleo por insuficiencia de tiempo de trabajo; 1.616.744 ; 1.013.538 ; 603.206 ; 980.594 ; 636.150 ;;;;;;;;;;;;
ENEMDU*;sep-22;Subempleo por insuficiencia de ingresos; 149.017 ; 79.217 ; 69.800 ; 114.371 ; 34.645 ;;;;;;;;;;;;
ENEMDU*;sep-22;Empleo no remunerado; 938.663 ; 272.938 ; 665.725 ; 241.576 ; 697.087 ;;;;;;;;;;;;
ENEMDU*;sep-22;Otro Empleo no pleno; 2.535.383 ; 1.505.966 ; 1.029.417 ; 1.348.568 ; 1.186.815 ;;;;;;;;;;;;
ENEMDU*;sep-22;Empleo no clasificado; 21.262 ; 18.236 ; 3.025 ; 12.731 ; 8.530 ;;;;;;;;;;;;
ENEMDU*;sep-22;Desempleo; 354.324 ; 295.134 ; 59.190 ; 175.527 ; 178.798 ;;;;;;;;;;;;
ENEMDU*;sep-22;Desempleo Abierto; 325.663 ; 275.398 ; 50.264 ; 164.187 ; 161.475 ;;;;;;;;;;;;
ENEMDU*;sep-22;Desempleo Oculto; 28.662 ; 19.736 ; 8.926 ; 11.339 ; 17.323 ;;;;;;;;;;;;
ENEMDU*;sep-22;Desempleo Cesante; 276.010 ; 236.806 ; 39.204 ; 143.330 ; 132.680 ;;;;;;;;;;;;
ENEMDU*;sep-22;Desempleo Nuevo; 78.314 ; 58.328 ; 19.987 ; 32.197 ; 46.118 ;;;;;;;;;;;;
ENEMDU*;sep-22;Población Económicamente Inactiva; 4.202.807 ; 3.299.382 ; 903.425 ; 1.345.598 ; 2.857.210 ;;;;;;;;;;;;
ENEMDU*;oct-22;Población Total; 18.142.271 ; 12.368.250 ; 5.774.021 ; 8.879.482 ; 9.262.789 ;;;;;;;;;;;;
ENEMDU*;oct-22;Población menor de 15 años; 5.231.139 ; 3.373.721 ; 1.857.418 ; 2.570.136 ; 2.661.003 ;;;;;;;;;;;;
ENEMDU*;oct-22;Población en Edad de Trabajar (PET); 12.911.132 ; 8.994.529 ; 3.916.603 ; 6.309.346 ; 6.601.785 ;;;;;;;;;;;;
ENEMDU*;oct-22;Población Económicamente Activa; 8.677.809 ; 5.739.760 ; 2.938.049 ; 4.982.375 ; 3.695.434 ;;;;;;;;;;;;
ENEMDU*;oct-22;Empleo; 8.323.300 ; 5.437.924 ; 2.885.375 ; 4.816.906 ; 3.506.394 ;;;;;;;;;;;;
ENEMDU*;oct-22;Empleo Adecuado/Pleno; 2.928.005 ; 2.448.582 ; 479.423 ; 1.986.853 ; 941.152 ;;;;;;;;;;;;
ENEMDU*;oct-22;Subempleo; 1.728.936 ; 1.210.346 ; 518.590 ; 1.106.776 ; 622.160 ;;;;;;;;;;;;
ENEMDU*;oct-22;Subempleo por insuficiencia de tiempo de trabajo; 1.597.695 ; 1.130.760 ; 466.935 ; 1.009.904 ; 587.791 ;;;;;;;;;;;;
ENEMDU*;oct-22;Subempleo por insuficiencia de ingresos; 131.241 ; 79.586 ; 51.655 ; 96.872 ; 34.369 ;;;;;;;;;;;;
ENEMDU*;oct-22;Empleo no remunerado; 1.016.921 ; 268.891 ; 748.030 ; 289.235 ; 727.686 ;;;;;;;;;;;;
ENEMDU*;oct-22;Otro Empleo no pleno; 2.637.893 ; 1.498.951 ; 1.138.942 ; 1.426.122 ; 1.211.771 ;;;;;;;;;;;;
ENEMDU*;oct-22;Empleo no clasificado; 11.546 ; 11.154 ; 391 ; 7.921 ; 3.625 ;;;;;;;;;;;;
ENEMDU*;oct-22;Desempleo; 354.509 ; 301.836 ; 52.673 ; 165.469 ; 189.040 ;;;;;;;;;;;;
ENEMDU*;oct-22;Desempleo Abierto; 310.815 ; 265.297 ; 45.518 ; 138.594 ; 172.220 ;;;;;;;;;;;;
ENEMDU*;oct-22;Desempleo Oculto; 43.694 ; 36.539 ; 7.156 ; 26.875 ; 16.820 ;;;;;;;;;;;;
ENEMDU*;oct-22;Desempleo Cesante; 238.750 ; 204.461 ; 34.289 ; 115.061 ; 123.689 ;;;;;;;;;;;;
ENEMDU*;oct-22;Desempleo Nuevo; 115.760 ; 97.375 ; 18.385 ; 50.409 ; 65.351 ;;;;;;;;;;;;
ENEMDU*;oct-22;Población Económicamente Inactiva; 4.233.323 ; 3.254.769 ; 978.554 ; 1.326.972 ; 2.906.351 ;;;;;;;;;;;;
ENEMDU*;nov-22;Población Total; 18.162.830 ; 12.382.219 ; 5.780.611 ; 8.889.559 ; 9.273.271 ;;;;;;;;;;;;
ENEMDU*;nov-22;Población menor de 15 años; 5.236.541 ; 3.377.201 ; 1.859.340 ; 2.572.780 ; 2.663.761 ;;;;;;;;;;;;
